%t(sec) 1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64
0.000000 4.113897 4.247158 3.904680 3.897805 3.028297 2.639668 2.593068 2.943974 2.878496 3.191691 3.165390 3.090528 2.845768 3.280369 3.690897 3.884500 3.188951 2.893594 3.164528 3.363110 2.924532 2.932205 3.174369 3.594931 3.985991 3.761805 3.866470 2.829732 2.540697 2.978497 3.147951 3.204058 3.102485 3.088997 3.221068 3.775691 3.847576 3.954791 3.717736 3.087228 2.440765 2.618649 3.128627 3.153875 2.856897 3.079890 3.330397 3.739585 3.098076 2.912278 3.160174 2.831562 3.122678 3.119468 3.167000 3.244097 3.236858 2.998963 3.190028 2.910385 3.106227 3.226686 2.962768 2.965597
0.009800 4.116157 4.246925 3.902653 3.900036 3.026242 2.640140 2.593540 2.948888 2.883232 3.190648 3.172996 3.096523 2.846240 3.278870 3.691369 3.886906 3.187526 2.891484 3.170523 3.363582 2.924305 2.934436 3.172870 3.597207 3.984948 3.764036 3.868151 2.829505 2.543022 2.979715 3.146526 3.203825 3.102957 3.090215 3.221540 3.774648 3.848048 3.953748 3.720031 3.093223 2.444100 2.619121 3.136179 3.154347 2.859222 3.087496 3.331615 3.740057 3.098548 2.910840 3.165088 2.832034 3.121520 3.119940 3.169406 3.244569 3.236625 2.999435 3.196023 2.910857 3.113779 3.229116 2.963240 2.963542
0.019600 4.117008 4.243894 3.899664 3.900214 3.023225 2.640368 2.593768 2.943602 2.884592 3.187593 3.169043 3.087939 2.846468 3.278397 3.689469 3.885003 3.184248 2.887722 3.161939 3.362438 2.922643 2.934614 3.172397 3.596735 3.981893 3.764214 3.864218 2.827843 2.542550 2.979078 3.143248 3.200794 3.101763 3.089578 3.220347 3.771593 3.847576 3.950693 3.719559 3.084639 2.441813 2.617959 3.123223 3.153875 2.858750 3.083543 3.330978 3.738863 3.098076 2.909661 3.159802 2.830864 3.124112 3.118747 3.167503 3.242669 3.233594 2.998963 3.187439 2.909663 3.100823 3.227920 2.963468 2.960525
0.029400 4.121006 4.240966 3.898073 3.902950 3.020964 2.643293 2.596693 2.940402 2.886148 3.190571 3.163826 3.080800 2.849393 3.277279 3.684369 3.879895 3.178002 2.884130 3.154800 3.360836 2.925462 2.937350 3.171279 3.598300 3.984871 3.766950 3.860426 2.830662 2.543492 2.972617 3.137002 3.197866 3.100019 3.083117 3.218608 3.774571 3.848542 3.953671 3.720490 3.077500 2.443357 2.616969 3.119472 3.153450 2.859692 3.078326 3.324517 3.737119 3.099042 2.907281 3.156602 2.829186 3.115723 3.117008 3.162395 3.237569 3.230666 2.999246 3.180300 2.907919 3.097072 3.224080 2.966393 2.958264
0.039200 4.120959 4.236429 3.898025 3.905356 3.018994 2.645240 2.598640 2.935484 2.890477 3.185695 3.157604 3.076007 2.851340 3.271735 3.680257 3.875777 3.181301 2.884083 3.150007 3.361409 2.927950 2.939756 3.165735 3.602050 3.979995 3.769356 3.859709 2.833150 2.545395 2.969862 3.140301 3.193329 3.099306 3.080362 3.218561 3.769695 3.850513 3.948795 3.722362 3.072707 2.447646 2.618885 3.116645 3.150630 2.861595 3.072104 3.321762 3.736406 3.101013 2.905876 3.151684 2.829139 3.111682 3.116961 3.158277 3.233457 3.226129 2.999857 3.175507 2.907206 3.094245 3.217179 2.968340 2.956294
0.049000 4.121302 4.234235 3.897205 3.906997 3.018167 2.645004 2.598404 2.933124 2.892729 3.185911 3.150414 3.071818 2.851104 3.266655 3.680021 3.873662 3.177812 2.883847 3.145818 3.363110 2.929654 2.941397 3.160655 3.602398 3.980211 3.770997 3.856744 2.834854 2.545759 2.966294 3.136812 3.191135 3.096356 3.076794 3.218955 3.769911 3.850277 3.949011 3.722126 3.068518 2.449875 2.619253 3.122906 3.148271 2.861959 3.064914 3.318194 3.733456 3.100777 2.907678 3.149324 2.828291 3.105291 3.117355 3.156162 3.233221 3.223935 3.001675 3.171318 2.904256 3.100506 3.214853 2.968104 2.955467
0.058800 4.124012 4.233923 3.895483 3.907759 3.016424 2.645806 2.599206 2.932765 2.895974 3.191169 3.147922 3.068061 2.851906 3.264753 3.679681 3.867607 3.175635 2.884083 3.142061 3.363346 2.930434 2.942159 3.158753 3.605128 3.985469 3.771759 3.853681 2.835634 2.549111 2.959995 3.134635 3.190823 3.092728 3.070495 3.221304 3.775169 3.851086 3.954269 3.722907 3.064761 2.453091 2.622067 3.109531 3.148507 2.865311 3.062422 3.311895 3.729828 3.101586 2.907914 3.148965 2.826480 3.104952 3.119704 3.150107 3.232881 3.223623 3.002486 3.167561 2.900628 3.087131 3.214504 2.968906 2.953724
0.068500 4.126480 4.231886 3.895971 3.910187 3.016424 2.648932 2.602332 2.930018 2.900427 3.177499 3.144133 3.071428 2.855032 3.263687 3.677538 3.866562 3.180410 2.884083 3.145428 3.364328 2.932943 2.944587 3.157687 3.607616 3.971799 3.774187 3.848796 2.838143 2.553222 2.951897 3.139410 3.188786 3.087287 3.062397 3.221304 3.761499 3.853214 3.940599 3.724930 3.068128 2.458461 2.625144 3.104243 3.147969 2.869422 3.058633 3.303797 3.724387 3.103714 2.908946 3.146218 2.826480 3.101779 3.119704 3.149062 3.230738 3.221586 3.005664 3.170928 2.895187 3.081843 3.210214 2.972032 2.953724
0.078300 4.128973 4.231886 3.898025 3.912640 3.016891 2.653244 2.606644 2.927753 2.903379 3.174748 3.138913 3.050846 2.859344 3.259706 3.678033 3.862161 3.173450 2.884561 3.124846 3.368926 2.935944 2.947040 3.153706 3.610592 3.969048 3.776640 3.846563 2.841144 2.554171 2.954108 3.132450 3.188786 3.091229 3.064608 3.221304 3.758748 3.853705 3.937848 3.725397 3.047546 2.465420 2.630342 3.100373 3.145705 2.870371 3.053413 3.306008 3.728329 3.104205 2.913294 3.143953 2.826480 3.097402 3.119704 3.144661 3.231233 3.221586 3.010540 3.150346 2.899129 3.077973 3.202804 2.976344 2.954191
0.088100 4.131408 4.231827 3.897966 3.915034 3.019377 2.653185 2.606585 2.928175 2.907442 3.171938 3.144243 3.057022 2.859285 3.260488 3.680198 3.861634 3.171205 2.886651 3.131022 3.371838 2.940516 2.949434 3.154488 3.615124 3.966238 3.779034 3.846979 2.845716 2.558830 2.953110 3.130205 3.188727 3.088921 3.063610 3.221245 3.755938 3.855855 3.935038 3.727879 3.053722 2.470302 2.635031 3.102521 3.146127 2.875030 3.058743 3.305010 3.726021 3.106355 2.913235 3.144375 2.826421 3.096413 3.119645 3.144134 3.233398 3.221527 3.012700 3.156522 2.896821 3.080121 3.208567 2.976285 2.956677
